"note","user","category","detail","prior","correctness","relation","countries","years","values"
"5ecd3bf2bccbe221a1629187",1,"c",1,0,1,1,2,1,0
"5ecd3c73bccbe221a16291d8",1,"c",0,0,1,1,2,0,0
"5ecd3d19bccbe221a162921d",1,"g",0,0,1,1,2,0,0
"5ecd3dbcbccbe221a1629265",1,"s",1,0,1,1,1,1,1
"5ecd3e23bccbe221a162928a",1,"g",0,0,1,1,2,0,0
"5ecedd05bccbe221a162c024",2,"s",0,1,1,1,2,1,0
"5ecedeccbccbe221a162c046",2,"c",0,0,1,1,2,1,0
"5ecedf46bccbe221a162c052",2,"c",1,0,1,1,2,1,0
"5ecedfbabccbe221a162c06a",2,"c",1,0,1,1,2,1,0
"5ecee03cbccbe221a162c08c",2,"c",0,0,1,1,2,0,0
"5ecd64d7bccbe221a1629a57",3,"c",0,1,1,1,2,0,0
"5ecd6651bccbe221a1629ab5",3,"c",0.5,0,1,1,2,1,1
"5ecd67e8bccbe221a1629af8",3,"c",0,0,1,1,4,0,0
"5ecd68febccbe221a1629b0f",3,"c",0,1,1,1,2,0,1
"5ecd6a61bccbe221a1629b47",3,"g",0.5,0,1,1,3,1,0
"5ecc5c03bccbe221a162530a",4,"g",1,0,1,1,3,1,3
"5ecc5e9bbccbe221a162553d",4,"g",1,1,1,1,2,1,2
"5ecc6006bccbe221a1625613",4,"g",1,0,1,1,2,0,2
"5ecc611fbccbe221a162569a",4,"s",0.5,0,1,1,5,1,0
"5ecc61d9bccbe221a1625730",4,"s",1,0,1,1,1,1,0
"5ecd7c16bccbe221a1629e69",5,"c",0.5,0,1,1,2,2,0
"5ecd7c80bccbe221a1629e8b",5,"s",1,0,1,1,1,2,0
"5ecd7cdebccbe221a1629ea2",5,"c",1,1,1,1,2,0,1
"5ecd7d51bccbe221a1629eb5",5,"c",0.5,0,1,1,0,3,0
"5ecd7d9dbccbe221a1629ecd",5,"s",1,0,1,1,2,0,0
"5ecd2ad0bccbe221a1628b36",6,"c",1,0,1,1,2,1,1
"5ecd2b5abccbe221a1628b70",6,"c",0.5,1,1,1,2,1,1
"5ecd2bbfbccbe221a1628bac",6,"c",0.5,0,1,1,2,1,1
"5ecd2c3ebccbe221a1628be6",6,"c",1,0,1,1,2,2,2
"5ecd2cb4bccbe221a1628c1b",6,"c",0.5,0,1,1,2,1,2
"5ecd2d5abccbe221a1628c6f",6,"c",1,0,1,1,2,2,1
"5eccfb4bbccbe221a1627e87",7,"c",0,1,1,-1,2,0,0
"5eccfc39bccbe221a1627e88",7,"g",0,1,1,1,2,0,0
"5eccff78bccbe221a1627ee2",7,"g",0.5,0,1,-1,7,1,0
"5ecd036cbccbe221a1627f2f",7,"c",0.5,1,1,1,3,3,0
"5ecd0600bccbe221a1627ff5",7,"c",0.5,1,1,1,3,3,0
"5ecd0857bccbe221a1628053",7,"c",0.5,1,1,1,2,4,0
"5ecd0ea8bccbe221a162828e",7,"s",1,1,1,1,1,4,0
"5ecda8e9bccbe221a162a3b0",8,"s",0.5,0,1,1,1,1,0
"5ecda917bccbe221a162a3b1",8,"c",0,0,1,1,2,0,0
"5ecda946bccbe221a162a3c8",8,"c",0,0,1,1,2,1,0
"5ecda971bccbe221a162a3df",8,"s",0,0,1,1,1,0,0
"5ecda990bccbe221a162a3eb",8,"s",0,0,1,1,1,0,0
"5ecfe2e15250f80529910f26",9,"c",1,1,0,1,2,1,0
"5ecfe3905250f80529910f3f",9,"c",0.5,0,1,-1,2,2,0
"5ecfe4315250f80529910f6d",9,"c",0.5,1,1,1,2,2,0
"5ecfe4895250f80529910f79",9,"c",0,0,1,1,2,0,0
"5ecfe5315250f80529910f9c",9,"c",0,1,1,1,2,0,0
"5ed3b6415250f80529913e2e",10,"c",0.5,1,1,1,2,4,0
"5ed3b8105250f80529913e74",10,"c",0.5,1,1,-1,3,3,0
"5ed3b8f25250f80529913e98",10,"c",0.5,0,1,1,2,1,0
"5ed3b9d05250f80529913ed4",10,"s",0,1,1,-1,1,1,0
"5ed3c10b5250f80529913f9f",10,"s",0.5,0,1,1,1,2,2
"5ed2dae65250f80529912b84",11,"c",0,0,1,1,2,1,0
"5ed2de565250f80529912bc3",11,"c",0,1,1,1,2,1,0
"5ed2e1575250f80529912c35",11,"c",0.5,0,1,1,2,0,0
"5ed2e1f75250f80529912c4d",11,"c",0,1,1,-1,2,0,0
"5ed2e3d95250f80529912cc3",11,"c",0,1,1,1,2,0,0
"5ecc6172bccbe221a16256df",12,"s",0,0,1,-1,0,0,0
"5ecc618ebccbe221a16256f6",12,"g",0,0,1,-1,0,0,0
"5ecc61c7bccbe221a162572f",12,"s",0,1,1,-1,0,0,0
"5ecc6218bccbe221a1625760",12,"s",0,0,1,-1,1,0,0
"5ecc6255bccbe221a16257a8",12,"s",0,1,1,-1,0,0,0
"5ecc62bfbccbe221a16257f1",12,"s",1,1,1,-1,0,0,0
"5ecc379ebccbe221a1623426",13,"g",0.5,0,1,1,2,1,0
"5ecc37e2bccbe221a16234b5",13,"s",-1,0,-1,-1,0,0,0
"5ecc38b9bccbe221a162360e",13,"s",1,0,1,1,1,0,0
"5ecc3a42bccbe221a162382c",13,"s",0.5,0,1,1,1,1,0
"5ecc3ababccbe221a162388b",13,"s",0.5,0,1,1,1,1,0
"5ecc3bc8bccbe221a162398f",13,"g",0,0,1,1,2,1,0
"5ed48d915250f80529914b57",14,"s",1,0,1,1,1,1,1
"5ed48e055250f80529914b63",14,"s",1,0,1,1,1,1,0
"5ed48e795250f80529914b64",14,"c",1,0,0,1,2,1,0
"5ed48edc5250f80529914b70",14,"s",0,0,1,1,1,2,0
"5ed48f595250f80529914b7c",14,"s",1,0,1,1,1,1,1
"5ecc67aabccbe221a16259cb",15,"c",1,0,1,1,2,1,0
"5ecc6880bccbe221a1625a50",15,"c",0,0,1,1,2,0,0
"5ecc69a2bccbe221a1625b2e",15,"c",0.5,0,1,1,2,1,0
"5ecc6ad8bccbe221a1625bb9",15,"c",0,0,1,1,2,0,0
"5ecc6b70bccbe221a1625c40",15,"s",0.5,0,1,1,1,1,0
"5ed61b295250f805299155eb",16,"g",0,0,1,-1,1,0,0
"5ed61b575250f805299155f7",16,"c",0,0,1,-1,2,0,0
"5ed61ba35250f805299155f8",16,"g",0,0,1,-1,1,0,0
"5ed61bc55250f80529915604",16,"s",0,0,1,-1,1,0,0
"5ed61c395250f80529915610",16,"s",1,1,1,-1,1,0,0
"5eccabf5bccbe221a16271d4",17,"c",0.5,0,1,1,2,1,0
"5eccac5cbccbe221a16271f3",17,"s",0.5,0,1,1,1,1,0
"5eccacc9bccbe221a162720a",17,"s",0.5,0,1,1,1,1,0
"5eccad51bccbe221a1627237",17,"s",0,0,1,1,1,0,0
"5eccadacbccbe221a1627244",17,"s",0.5,0,1,1,1,2,0
"5ecc4f14bccbe221a1624946",18,"g",0,1,1,1,2,0,0
"5ecc5010bccbe221a162499a",18,"g",0,0,1,1,3,0,0
"5ecc50dabccbe221a1624a0a",18,"g",0,0,1,1,4,0,0
"5ecc51b4bccbe221a1624a95",18,"c",0,1,1,0,4,0,0
"5ecc529dbccbe221a1624bc6",18,"g",1,1,1,1,3,0,0
"5ecc9b1cbccbe221a1626c07",19,"c",0.5,0,1,1,3,1,0
"5ecc9b8bbccbe221a1626c2e",19,"s",0.5,0,1,1,0,2,0
"5ecc9ca4bccbe221a1626c67",19,"s",1,0,1,1,1,2,0
"5ecc9d03bccbe221a1626c97",19,"s",0.5,0,1,1,2,1,0
"5ecc9dfbbccbe221a1626cf4",19,"s",0.5,0,1,1,1,2,0
"5ecd8c52bccbe221a162a165",20,"c",1,0,1,1,2,0,0
"5ecd8cb6bccbe221a162a188",20,"c",1,0,1,1,2,1,0
"5ecd8d9cbccbe221a162a1d1",20,"c",0.5,0,1,1,2,1,0
"5ecd8e49bccbe221a162a20c",20,"s",0.5,0,1,1,1,1,1
"5ecd8f41bccbe221a162a218",20,"c",0.5,1,1,1,2,0,1
"5ecd1554bccbe221a1628439",21,"c",1,0,1,1,2,1,0
"5ecd15b2bccbe221a1628454",21,"c",0,1,1,1,2,1,0
"5ecd1602bccbe221a1628463",21,"c",1,0,1,1,2,1,0
"5ecd16b6bccbe221a16284be",21,"c",0,0,1,1,2,1,0
"5ecd1720bccbe221a16284de",21,"c",0,1,1,1,1,1,0
"5ecd2956bccbe221a1628ad6",22,"g",1,0,1,1,1,0,1
"5ecd2a33bccbe221a1628b06",22,"c",0,0,1,1,2,0,0
"5ecd2b72bccbe221a1628b7d",22,"g",0,1,1,1,1,0,0
"5ecd2cfcbccbe221a1628c2a",22,"c",1,1,1,1,2,1,0
"5ecd2d2dbccbe221a1628c4d",22,"c",0,0,1,1,2,0,0
"5ecd2d8abccbe221a1628c7c",22,"c",1,0,1,1,2,1,0
"5ecd2dfbbccbe221a1628ccd",22,"c",0,0,1,1,2,0,0
"5ecd2e72bccbe221a1628d34",22,"g",0.5,1,0,1,1,0,0
"5ecca5e2bccbe221a1626ecf",23,"c",0.5,0,1,1,2,1,3
"5ecca65fbccbe221a1626efe",23,"c",1,0,1,1,2,1,0
"5ecca6f8bccbe221a1626f37",23,"c",0.5,0,1,1,1,1,0
"5ecca867bccbe221a162702d",23,"c",0,0,1,1,2,0,1
"5ecca8e3bccbe221a1627071",23,"c",0.5,0,1,1,3,1,0
"5ecc4a6abccbe221a1624609",24,"c",1,0,0,1,2,1,3
"5ecc4b6fbccbe221a16246c4",24,"g",0.5,0,1,1,1,1,1
"5ecc4c6dbccbe221a16247b3",24,"g",0,0,1,1,1,1,1
"5ecc4cf5bccbe221a162482d",24,"g",0,0,1,1,2,0,0
"5ecc4db4bccbe221a1624899",24,"g",0,0,1,1,2,0,0
"5eceb232bccbe221a162bbe0",25,"c",0,0,1,1,2,0,0
"5eceb354bccbe221a162bc44",25,"c",0,0,1,1,2,0,0
"5eceb45abccbe221a162bc9d",25,"g",0,0,1,1,1,0,0
"5eceb51dbccbe221a162bcb4",25,"s",0.5,0,1,1,1,1,2
"5eceb690bccbe221a162bce1",25,"g",1,0,1,1,2,1,1
"5ed508fe5250f80529914ef4",26,"g",0,0,1,0,3,1,0
"5ed5098c5250f80529914f00",26,"c",0,0,1,1,2,0,0
"5ed50a325250f80529914f0c",26,"c",0.5,0,1,1,3,1,0
"5ed50ad55250f80529914f23",26,"s",1,0,1,1,1,1,0
"5ed50b3a5250f80529914f2f",26,"c",0.5,0,0,1,2,1,0
"5ecdb0aabccbe221a162a4bc",27,"c",1,0,1,1,2,1,0
"5ecdb158bccbe221a162a525",27,"c",0.5,0,1,1,2,1,0
"5ecdb1b6bccbe221a162a553",27,"c",1,0,1,1,2,1,0
"5ecdb212bccbe221a162a576",27,"c",1,0,1,1,2,1,0
"5ecdb26abccbe221a162a59d",27,"c",0,0,1,1,2,0,0
"5ecd0668bccbe221a1628001",28,"c",0.5,0,1,1,2,1,0
"5ecd077fbccbe221a1628023",28,"c",0.5,1,1,1,4,1,0
"5ecd0813bccbe221a1628046",28,"s",0.5,0,1,1,1,1,0
"5ecd0867bccbe221a1628054",28,"s",1,0,1,1,1,3,1
"5ecd08cdbccbe221a1628078",28,"c",0.5,0,1,1,2,2,0
"5ecd0957bccbe221a16280ad",28,"c",0,0,1,1,2,0,0
"5ecd202abccbe221a16287f6",29,"g",0,1,1,1,5,0,0
"5ecd20debccbe221a1628836",29,"c",0,0,1,1,2,0,0
"5ecd2154bccbe221a1628842",29,"c",0,1,1,1,2,1,0
"5ecd21b9bccbe221a162885a",29,"c",0.5,0,1,1,2,1,0
"5ecd221fbccbe221a1628892",29,"c",0.5,0,1,1,2,3,0
"5ecd43a8bccbe221a1629450",30,"c",0.5,1,1,1,2,1,0
"5ecd4662bccbe221a16294e5",30,"g",0,1,1,1,3,0,0
"5ecd470dbccbe221a16294fc",30,"c",0,0,1,1,3,0,0
"5ecd4813bccbe221a162954e",30,"g",0,1,1,1,3,0,0
"5ecd4950bccbe221a16295e8",30,"c",0,1,1,1,3,0,0
"5ecd327ebccbe221a1628e3f",31,"c",0.5,0,1,1,2,2,0
"5ecd3497bccbe221a1628e95",31,"c",1,0,1,1,2,1,0
"5ecd351bbccbe221a1628eb7",31,"s",0.5,1,1,1,1,1,0
"5ecd3596bccbe221a1628efe",31,"s",0.5,1,1,1,1,1,0
"5ecd3b86bccbe221a162915f",31,"s",0.5,0,1,1,1,2,1
"5ecc3850bccbe221a1623546",32,"c",0.5,0,1,1,2,1,0
"5ecc3889bccbe221a16235c6",32,"c",0.5,0,1,1,2,1,0
"5ecc3926bccbe221a16236b9",32,"c",0,0,1,1,2,0,0
"5ecc399dbccbe221a1623776",32,"c",0.5,0,1,1,2,2,0
"5ecc3a36bccbe221a162381e",32,"c",0.5,0,1,1,2,2,0
"5ed55bb85250f80529915102",33,"c",0,0,1,1,2,1,0
"5ed55dd75250f80529915177",33,"c",0.5,0,1,1,2,1,1
"5ed55f075250f805299151a8",33,"c",1,0,1,1,3,1,1
"5ed5610a5250f805299151d8",33,"c",0.5,0,1,1,2,1,2
"5ed562845250f805299151ef",33,"c",1,0,1,1,2,2,2
"5ece7799bccbe221a162b1bb",34,"c",1,0,1,1,4,0,0
"5ece7cc7bccbe221a162b2cd",34,"c",1,0,1,1,1,0,0
"5ece83d3bccbe221a162b3a7",34,"s",1,0,1,1,1,1,0
"5ece84b1bccbe221a162b413",34,"c",1,0,1,1,3,1,2
"5ece8511bccbe221a162b42e",34,"c",1,0,1,1,2,0,1
"5ecc32eabccbe221a1622f20",35,"s",1,0,1,1,1,2,1
"5ecc33bfbccbe221a1622f88",35,"c",1,0,1,1,2,1,0
"5ecc3501bccbe221a162307f",35,"s",1,0,1,0,1,1,0
"5ecc35f1bccbe221a16231b1",35,"s",1,0,1,0,1,1,0
"5ecc36cabccbe221a16232c3",35,"c",1,0,1,1,2,1,0
"5ecc37cdbccbe221a16234a8",35,"s",1,0,1,0,1,1,0
"5ed4c53f5250f80529914d62",36,"c",0.5,0,1,-1,2,2,0
"5ed4c6555250f80529914d7a",36,"s",0,0,1,1,1,0,0
"5ed4c7695250f80529914d93",36,"c",1,0,1,1,2,2,0
"5ed4c8885250f80529914daf",36,"c",0,0,1,1,2,0,0
"5ed4c9335250f80529914dc2",36,"c",0,0,0,-1,2,0,0
"5ed4c9e15250f80529914ddf",36,"s",0.5,0,1,-1,1,1,0
"5ed2be225250f80529912940",37,"g",0,0,1,1,2,0,0
"5ed2be7e5250f8052991294c",37,"g",1,0,1,1,2,0,0
"5ed2bee05250f80529912958",37,"s",0.5,1,1,1,1,1,0
"5ed2bf515250f8052991296f",37,"c",0,1,1,1,3,0,0
"5ed2bf965250f80529912970",37,"s",0.5,1,1,1,1,1,0
"5ed2bfdb5250f8052991297d",37,"s",0,1,1,1,1,0,0
"5ed2e6565250f80529912d6a",38,"c",0,1,1,1,2,0,0
"5ed2e7325250f80529912dc0",38,"c",0,1,1,1,2,0,0
"5ed2e8195250f80529912e09",38,"s",0,1,1,1,2,0,0
"5ed2e8d15250f80529912e21",38,"c",0,1,1,1,2,0,1
"5ed2e93e5250f80529912e2f",38,"c",0.5,0,1,1,2,1,0
"5ecc139abccbe221a16222f2",39,"s",0.5,1,1,1,1,1,0
"5ecc13f4bccbe221a1622311",39,"c",0,0,1,1,2,0,0
"5ecc1477bccbe221a1622340",39,"c",0.5,0,1,1,2,1,0
"5ecc1504bccbe221a1622357",39,"c",1,0,1,1,2,1,0
"5ecc159dbccbe221a162239b",39,"c",1,0,1,1,2,1,0
"5ed10a225250f80529911f03",40,"c",0.5,0,1,1,3,1,0
"5ed10aca5250f80529911f1b",40,"c",1,1,1,1,1,0,0
"5ed10cc55250f80529911f52",40,"s",0.5,1,1,1,1,2,0
"5ed10ebb5250f80529911f75",40,"c",1,1,1,1,2,2,0
"5ed1216f5250f805299120dd",40,"c",1,1,1,1,2,1,0
"5ed3facd5250f805299145cf",41,"s",0,0,1,1,1,0,0
"5ed3fb165250f805299145d5",41,"s",0,1,1,1,1,0,0
"5ed3fb715250f805299145e1",41,"s",0,0,1,1,1,0,0
"5ed3fba75250f805299145ed",41,"s",0,1,1,1,1,0,0
"5ed3fbf85250f805299145f9",41,"s",0,0,1,1,1,0,0
"5ecc2e53bccbe221a1622adb",42,"c",0.5,0,1,1,2,2,1
"5ecc2f12bccbe221a1622b65",42,"c",0.5,0,1,1,2,3,1
"5ecc2fbebccbe221a1622c14",42,"c",0.5,1,1,1,2,2,0
"5ecc3051bccbe221a1622ca3",42,"c",0,0,1,1,2,0,0
"5ecc30a9bccbe221a1622cfb",42,"c",0.5,0,1,1,2,1,0
"5ecc314bbccbe221a1622d88",42,"g",0,1,1,1,3,0,1
"5ecd78cdbccbe221a1629d2e",43,"c",0.5,0,1,1,2,4,3
"5ecd7a95bccbe221a1629dc1",43,"c",0.5,1,1,1,4,1,2
"5ecd7bf7bccbe221a1629e52",43,"g",1,1,1,1,2,2,2
"5ecd7d6cbccbe221a1629eb6",43,"c",0.5,0,1,1,4,2,2
"5ecd81fcbccbe221a1629f3b",43,"g",0.5,1,1,1,4,3,1
"5ecc3e8bbccbe221a1623b0a",44,"c",0.5,0,1,1,2,1,0
"5ecc3f02bccbe221a1623b95",44,"c",0.5,1,1,1,2,1,1
"5ecc3f75bccbe221a1623c25",44,"c",1,1,1,1,2,1,3
"5ecc3ffbbccbe221a1623cd1",44,"s",0.5,1,1,1,3,1,2
"5ecc4047bccbe221a1623d4f",44,"s",0,0,1,1,1,1,1
"5ecceb31bccbe221a1627cc4",45,"s",0.5,0,1,1,0,0,0
"5eccec60bccbe221a1627cf3",45,"c",0,1,1,1,2,0,0
"5eccecc9bccbe221a1627d0a",45,"s",-1,1,-1,-1,0,0,0
"5ecced74bccbe221a1627d27",45,"c",0,0,1,1,0,0,0
"5eccee33bccbe221a1627d4e",45,"g",0,1,1,1,2,1,0
"5ed53e545250f80529914f94",46,"s",1,0,1,1,0,1,0
"5ed53fff5250f80529914fab",46,"s",0,1,1,1,1,0,0
"5ed540835250f80529914fc2",46,"c",0.5,0,1,1,2,1,0
"5ed540cf5250f80529914fc4",46,"s",0,0,0,1,0,1,0
"5ed541145250f80529914fd0",46,"s",0,0,1,1,1,0,0
"5ece03e6bccbe221a162aa2c",47,"s",1,1,1,1,0,1,0
"5ece047abccbe221a162aa44",47,"g",0,1,1,1,2,0,0
"5ece04c2bccbe221a162aa50",47,"s",0,0,1,-1,1,0,0
"5ece053bbccbe221a162aa67",47,"c",0,0,1,1,2,0,0
"5ece05c3bccbe221a162aa73",47,"c",0,0,1,-1,2,0,0
"5ecd3cbfbccbe221a16291fa",48,"c",0,0,1,1,2,0,0
"5ecd3d43bccbe221a162922f",48,"c",0,1,1,1,2,0,0
"5ecd3e74bccbe221a16292b1",48,"c",0,1,1,1,2,0,0
"5ecd3ef0bccbe221a16292ec",48,"c",0,1,1,1,2,0,0
"5ecd3f84bccbe221a162934a",48,"c",0.5,0,1,1,2,1,0
"5ed36c8e5250f80529913995",49,"c",0,0,1,1,2,0,0
"5ed36da95250f805299139e7",49,"c",0,1,1,1,2,0,1
"5ed36ded5250f80529913a0a",49,"s",0,0,1,1,1,0,0
"5ed36e7c5250f80529913a2e",49,"s",0.5,1,1,1,2,0,1
"5ed36e9c5250f80529913a3a",49,"s",1,0,1,1,1,1,1
"5ecc5b7ebccbe221a16252c4",50,"s",0.5,0,0,1,1,1,0
"5ecc5c66bccbe221a1625344",50,"g",0.5,0,1,1,2,1,0
"5ecc5cc3bccbe221a1625388",50,"s",1,0,0,1,1,1,0
"5ecc5d38bccbe221a1625400",50,"s",0.5,0,1,1,1,1,0
"5ecc5d81bccbe221a1625433",50,"s",0,1,1,1,1,0,0
"5eccbb1cbccbe221a16274dd",51,"s",0.5,0,1,1,1,3,0
"5eccbb90bccbe221a16274fb",51,"s",0.5,1,1,-1,1,2,0
"5eccbc3bbccbe221a162751d",51,"s",-1,1,-1,-1,1,0,0
"5eccbc9bbccbe221a162751f",51,"c",0,0,1,-1,2,0,0
"5eccbd02bccbe221a1627541",51,"c",0,1,1,-1,2,0,0
"5ed03f575250f80529911836",52,"g",0.5,1,1,1,4,3,0
"5ed041b65250f805299118b2",52,"g",0,1,1,1,1,2,0
"5ed043575250f8052991192e",52,"g",0,0,1,1,2,2,0
"5ed044885250f80529911988",52,"s",0.5,1,1,1,2,1,0
"5ed045eb5250f805299119b9",52,"g",1,1,1,1,1,0,0
"5ed0414d5250f80529911890",53,"s",0.5,0,1,1,1,1,0
"5ed042875250f805299118ea",53,"g",0,1,1,1,2,0,0
"5ed0432c5250f80529911917",53,"c",0,0,1,1,2,0,1
